UID,State,01-02-20,02-02-20,03-Feb,04-02-20,05-02-20,06-02-20,07-02-20,08-02-20,09-02-20,10-02-20,11-02-20,12-02-20,13-02-20,14-02-20,15-02-20,16-02-20,17-02-20,18-02-20,19-02-20,20-02-20,21-02-20,22-02-20,23-02-20,24-02-20,25-02-20,26-02-20,27-02-20,28-02-20,29-02-20,01-03-20,02-03-20,03-03-20,04-03-20,05-03-20,06-03-20,07-03-20,08-03-20,09-03-20,10-03-20,11-03-20,12-03-20,13-03-20,14-03-20,15-03-20,16-03-20,17-03-20,18-03-20,19-03-20,20-03-20,21-03-20,22-03-20,23-03-20,24-03-20,25-03-20,26-03-20,27-03-20,28-03-20,29-03-20,30-03-20,31-03-20,01-04-20,02-04-20,03-04-20,04-04-20,05-04-20,06-04-20,07-04-20,08-04-20,09-04-20,10-04-20,11-04-20,12-04-20,13-04-20,14-04-20,15-04-20,16-04-20,17-04-20,18-04-20,19-04-20,20-04-20,21-04-20,22-04-20,23-04-20,24-04-20,25-20-20,26-04-20,27-04-20,28-04-20,29-04-20,30-04-20,01-05-20,02-05-20,03-May,04-05-20,05-05-20,06-05-20,07-05-20,08-05-20,09-05-20,10-05-20,11-05-20,12-05-20,13-05-20,14-05-20,15-05-20,16-05-20,17-05-20,18-05-20,19-05-20,20-05-20,21-05-20,22-05-20,23-05-20,24-05-20,25-05-20,26-05-20,27-05-20,28-05-20,29-05-20,30-05-20,31-05-20,01-06-20,02-06-20,03-06-20,04-06-20,05-06-20,06-06-20,07-06-20,08-06-20,09-06-20,10-06-20,11-06-20,12-06-20,13-06-20,14-06-20,15-06-20,16-06-20,17-06-20,18-06-20,19-06-20,20-06-20,21-06-20,22-06-20,23-06-20,24-06-20,25-06-20,26-06-20,27-06-20,28-06-20,29-06-20,,,,,,,,,,,,,,,,,,,,,,15-06-20
UID,Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,12,14,15,16,17,18,22,27,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,38,38,38,38,41,44,44,44,45,47,48,48,50,56,59,72,72,76,90,,,,,,,,,,,,,,,,,,,,,,41
UID,Andhra Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,5,7,8,9,11,12,14,19,23,40,83,86,132,161,190,226,266,305,348,363,383,400,432,473,503,534,572,603,603,722,757,813,895,955,1061,1097,1177,1259,1332,1403,1533,1533,1583,1717,1777,1847,1887,1930,1980,2018,2090,2137,2205,2307,2355,2407,2474,2532,2602,2647,2709,2757,2823,3110,3171,3171,3251,3436,3569,3679,3783,3898,4080,4223,4303,4510,4708,4851,5070,5269,5429,5680,5965,6163,6456,6556,6841,7071,7518,7961,8452,8999,9372,10002,10331,10884,11489,12285,13241,13891,,,,,,,,,,,,,,,,,,,,,,
UID,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,22,22,38,42,45,47,51,51,57,57,61,67,87,91,91,91,95,99,103,103,135,135,139,148,158,160,172,177,182,187,,,,,,,,,,,,,,,,,,,,,,
UID,Assam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,16,24,26,26,26,27,28,29,29,29,31,31,33,33,35,35,35,35,35,35,35,36,36,36,36,38,38,42,43,43,43,43,45,54,59,59,63,65,65,80,87,90,92,101,107,142,170,203,259,329,378,526,616,781,856,1024,1185,1272,1390,1513,1672,1988,2153,2397,2565,2776,2937,3092,3319,3498,3718,4049,4158,4203,4319,4605,4777,4904,4904,5388,5586,5831,6198,6321,6607,6816,7206,7752,,,,,,,,,,,,,,,,,,,,,,
UID,Bihar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,6,6,9,11,15,15,23,24,29,30,30,32,32,38,39,60,60,64,64,66,70,74,83,85,86,96,114,126,148,176,228,251,277,346,383,403,482,482,503,536,542,550,571,579,696,747,831,940,994,1018,1179,1262,1391,1498,1674,1982,2177,2380,2587,2730,2983,3061,3296,3376,3636,3815,3926,4155,4390,4493,4596,4915,5088,5202,5459,5710,5983,6103,6290,6470,6650,6650,6778,6942,7025,7181,7533,7612,7825,8153,8209,8473,8716,8931,9212,9640,,,,,,,,,,,,,,,,,,,,,,
UID,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,6,6,6,7,7,8,8,8,13,16,16,18,18,18,18,18,18,18,18,18,19,21,21,21,21,21,21,23,26,26,27,27,27,28,30,30,40,56,56,94,94,99,111,120,134,137,150,169,174,187,187,191,191,191,191,196,200,202,217,218,225,238,238,266,279,288,289,289,293,294,301,301,301,304,309,314,317,323,327,332,334,345,352,354,354,358,368,374,381,404,406,411,418,420,423,425,428,429,435,,,,,,,,,,,,,,,,,,,,,,
UID,Chhattisgarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,6,6,6,7,7,8,9,9,9,9,9,10,10,10,10,10,18,25,31,31,33,33,36,36,36,36,36,36,36,36,36,36,37,37,38,38,43,43,57,59,59,59,59,59,59,59,59,59,60,66,67,86,93,101,115,128,172,214,252,291,361,369,399,415,447,498,547,564,668,756,879,923,1073,1160,1240,1262,1398,1429,1512,1662,1756,1756,1781,1864,1946,2028,2041,2275,2303,2362,2419,2452,2545,2545,2662,2761,,,,,,,,,,,,,,,,,,,,,,
UID,Dadra Nagar Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,4,8,12,14,19,20,22,22,26,30,30,35,36,36,36,45,57,58,62,68,88,91,120,120,155,163,177,178,203,,,,,,,,,,,,,,,,,,,,,,
UID,Delhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,3,4,4,5,5,5,7,7,7,8,10,12,17,26,29,29,30,31,36,36,39,49,87,97,152,219,219,445,503,523,576,576,669,898,903,1069,1154,1510,1561,1578,1640,1707,1893,2003,2081,2156,2248,2376,2514,2625,2918,3108,3314,3439,4122,4122,4549,5104,5532,5980,6318,6542,6923,7233,7639,7998,8470,8895,9333,10054,10054,10554,11088,11659,12319,12910,13418,14053,14465,15257,16281,17386,18549,19844,20834,22132,23645,25004,26334,27654,27654,29943,31309,32810,34687,36824,38958,41182,42829,42829,44688,47102,49979,53116,56746,59746,62655,66602,70390,73780,77240,80188,83077,85161,,,,,,,,,,,,,,,,,,,,,,
UID,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,15,17,29,38,46,50,52,54,55,66,67,67,68,69,69,70,70,71,79,79,166,196,267,300,330,359,387,417,463,523,564,592,592,629,656,705,725,754,754,864,909,951,995,1039,1128,1198,1198,,,,,,,,,,,,,,,,,,,,,,
