Country,Jan,Feb,March,April,May,June
Afghanistan,0,1,174,1939,15750,31836
Albania,0,0,243,766,1143,2580
Algeria,0,1,716,3848,9513,14272
Andorra,0,0,376,743,765,855
Angola,0,0,7,27,86,291
Antigua and Barbuda,0,0,7,24,26,69
Argentina,0,0,1054,4285,17415,67197
Armenia,0,0,532,1932,9492,26065
Australia,9,25,4559,6752,7221,8001
Austria,0,9,10180,15402,16733,17873
Azerbaijan,0,0,298,1766,5662,18112
Bahamas,0,0,14,80,102,104
Bahrain,0,41,567,2921,11871,27414
Bangladesh,0,0,51,7103,49534,149258
Barbados,0,0,34,80,92,97
Belarus,0,1,152,13181,43403,62424
Belgium,0,1,12775,47859,58517,61509
Belize,0,0,3,18,18,28
Benin,0,0,9,64,243,1199
Bhutan,0,0,4,7,43,77
Bolivia,0,0,107,1110,10531,34227
Bosnia and Herzegovina,0,0,420,1677,2524,4606
Botswana,0,0,4,23,38,227
Brazil,0,2,5717,79685,526447,1448753
Brunei,0,0,129,138,141,141
Bulgaria,0,0,399,1447,2519,5154
Burkina Faso,0,0,261,641,847,962
Burma,0,0,15,150,228,303
Burundi,0,0,2,11,63,170
Cabo Verde,0,0,6,114,458,1267
Cambodia,1,1,109,122,125,141
Cameroon,0,0,193,1832,6397,12592
Canada,4,20,8527,52865,93288,106288
Central African Republic,0,0,3,50,1069,3745
Chad,0,0,7,52,790,866
Chile,0,0,2738,14885,105158,282043
China,9802,79356,82279,83944,84154,84816
Colombia,0,0,906,6207,29384,98090
Comoros,0,0,0,0,106,303
Congo (Brazzaville),0,0,19,207,611,1382
Congo (Kinshasa),0,0,98,491,3195,7122
Costa Rica,0,0,347,713,1084,3753
Cote d'Ivoire,0,0,179,1238,2951,9702
Croatia,0,6,867,2062,2246,2831
Cuba,0,0,186,1467,2083,2348
Cyprus,0,0,262,843,949,999
Czechia,0,0,3308,7579,9302,12046
Denmark,0,3,3039,9206,11899,12994
Diamond Princess,0,705,712,712,712,712
Djibouti,0,0,30,1077,3569,4704
Dominica,0,0,12,16,16,18
Dominican Republic,0,0,1109,6652,17572,33387
Ecuador,0,0,2240,24675,39098,58257
