Country,Jan,Feb,March,April,May,June
Afghanistan,0,0,4,60,265,774
Albania,0,0,15,30,33,65
Algeria,0,0,44,444,661,920
Andorra,0,0,12,42,51,52
Angola,0,0,2,2,4,15
Antigua and Barbuda,0,0,0,3,3,3
Argentina,0,0,27,214,556,1351
Armenia,0,0,3,30,139,453
Australia,0,0,18,91,102,104
Austria,0,0,128,580,668,705
Azerbaijan,0,0,5,23,68,220
Bahamas,0,0,0,11,11,11
Bahrain,0,0,4,8,19,92
Bangladesh,0,0,5,163,672,1888
Barbados,0,0,0,7,7,7
Belarus,0,0,1,84,240,398
Belgium,0,0,705,7501,9486,9754
Belize,0,0,0,2,2,2
Benin,0,0,0,1,3,21
Bhutan,0,0,0,0,0,0
Bolivia,0,0,6,59,343,1201
Bosnia and Herzegovina,0,0,13,65,154,188
Botswana,0,0,1,1,1,1
Brazil,0,0,201,5513,29937,60632
Brunei,0,0,1,1,2,3
Bulgaria,0,0,8,64,140,232
Burkina Faso,0,0,14,43,53,53
Burma,0,0,1,6,6,6
Burundi,0,0,0,1,1,1
Cabo Verde,0,0,1,1,4,15
Cambodia,0,0,0,0,0,0
Cameroon,0,0,6,61,199,313
Canada,0,0,101,3155,7404,8678
Central African Republic,0,0,0,0,4,47
Chad,0,0,0,2,66,74
Chile,0,0,12,216,1113,5753
China,213,2837,3309,4637,4638,4641
Colombia,0,0,16,278,963,3488
Comoros,0,0,0,0,2,7
Congo (Brazzaville),0,0,0,8,20,41
Congo (Kinshasa),0,0,8,30,72,175
Costa Rica,0,0,2,6,10,17
Cote d'Ivoire,0,0,1,14,33,68
Croatia,0,0,6,67,103,108
Cuba,0,0,6,58,83,86
Cyprus,0,0,8,15,17,19
Czechia,0,0,31,227,321,349
Denmark,0,0,90,443,576,606
Diamond Princess,0,6,10,13,13,13
Djibouti,0,0,0,2,24,55
Dominica,0,0,0,0,0,0
Dominican Republic,0,0,51,293,502,754
Ecuador,0,0,75,883,3358,4576
Egypt,0,0,46,380,1005,3034
El Salvador,0,0,1,9,46,182
Equatorial Guinea,0,0,0,1,12,32
Eritrea,0,0,0,0,0,0
Estonia,0,0,4,50,68,69
Eswatini,0,0,0,1,3,11
Ethiopia,0,0,0,3,12,103
Fiji,0,0,0,0,0,0
Finland,0,0,17,206,318,328
France,0,2,3532,24121,28836,29864
Gabon,0,0,1,3,17,42
Gambia,0,0,1,1,1,2
Georgia,0,0,0,6,12,15
Germany,0,0,775,6467,8555,8995
Ghana,0,0,5,16,36,117
Greece,0,0,49,139,179,192
Grenada,0,0,0,0,0,0
Guatemala,0,0,1,16,116,817
Guinea,0,0,0,7,23,33
Guinea-Bissau,0,0,0,1,8,24
Guyana,0,0,2,8,12,13
Haiti,0,0,0,6,45,107
Holy See,0,0,0,0,0,0
Honduras,0,0,7,66,217,542
Hungary,0,0,16,300,527,586
Iceland,0,0,2,10,10,10
India,0,0,35,1079,5608,17834
Indonesia,0,0,136,784,1641,2934
Iran,0,43,2898,5957,7878,10958
Iraq,0,0,50,92,215,2050
Ireland,0,0,71,1190,1650,1738
Israel,0,0,20,215,285,322
Italy,0,29,12428,27682,33475,34788
Jamaica,0,0,1,7,9,10
Japan,0,5,56,413,899,976
Jordan,0,0,5,8,9,9
Kazakhstan,0,0,2,25,41,188
Kenya,0,0,1,15,69,149
South Korea,0,16,162,247,272,282
Kosovo,0,0,1,12,30,54
Kuwait,0,0,0,24,220,358
Kyrgyzstan,0,0,0,8,16,66
Laos,0,0,0,0,0,0
Latvia,0,0,0,15,24,30
Lebanon,0,0,12,24,27,34
Lesotho,0,0,0,0,0,0
Liberia,0,0,0,16,27,37
Libya,0,0,0,2,5,25
Liechtenstein,0,0,0,1,1,1
Lithuania,0,0,8,45,70,78
Luxembourg,0,0,23,89,110,110
MS Zaandam,0,0,0,2,2,2
Madagascar,0,0,0,0,6,22
Malawi,0,0,0,3,4,16
Malaysia,0,0,43,100,115,121
Maldives,0,0,0,1,6,9
Mali,0,0,2,25,78,116
Malta,0,0,0,4,9,9
Mauritania,0,0,1,1,23,129
Mauritius,0,0,5,10,10,10
Mexico,0,0,29,1732,10167,28510
Moldova,0,0,4,111,305,549
