Country,Jan,Feb,March,April,May,June
Afghanistan,0,0,5,252,1428,15651
Albania,0,0,52,455,877,1516
Algeria,0,0,46,1702,5894,10040
Andorra,0,0,10,423,698,799
Angola,0,0,1,7,18,97
Antigua and Barbuda,0,0,0,11,19,22
Argentina,0,0,240,1192,5521,23040
Armenia,0,0,30,900,3402,14563
Australia,2,11,358,5715,6626,7090
Austria,0,0,1095,12779,15596,16491
Azerbaijan,0,0,26,1267,3508,10061
Bahamas,0,0,1,23,49,89
Bahrain,0,0,295,1455,7070,21948
Bangladesh,0,0,25,150,10597,62108
Barbados,0,0,0,39,76,90
Belarus,0,0,47,2072,18776,47553
Belgium,0,1,1696,11283,15919,17021
Belize,0,0,0,9,16,18
Benin,0,0,1,33,147,333
Bhutan,0,0,0,5,6,50
Bolivia,0,0,0,117,1137,9764
Bosnia and Herzegovina,0,0,17,710,1888,2432
Botswana,0,0,0,5,20,28
Brazil,0,0,127,34132,211080,817642
Brunei,0,0,45,124,138,138
Bulgaria,0,0,17,243,1090,2722
Burkina Faso,0,0,32,498,720,838
Burma,0,0,0,27,138,222
Burundi,0,0,0,4,33,115
Cabo Verde,0,0,0,2,193,629
Cambodia,0,1,23,119,123,131
Cameroon,0,0,5,934,3629,10100
Canada,0,6,1592,20327,50091,69397
Central African Republic,0,0,0,10,23,787
Chad,0,0,0,19,539,785
Chile,0,0,156,8057,44946,245443
China,214,39320,76206,78474,79398,79650
Colombia,0,0,31,1411,8384,42143
Comoros,0,0,0,0,26,200
Congo (Brazzaville),0,0,0,19,179,486
Congo (Kinshasa),0,0,2,59,454,1785
Costa Rica,0,0,4,323,676,1516
Cote d'Ivoire,0,0,7,557,1467,4381
Croatia,0,0,67,1288,2077,2155
Cuba,0,0,8,617,1826,2218
Cyprus,0,0,23,148,790,833
Czechia,0,0,45,3108,6642,7797
Denmark,0,0,77,6558,10610,11893
Diamond Princess,0,10,603,645,651,651
Djibouti,0,0,0,599,1521,4550
Dominica,0,0,0,13,16,18
Dominican Republic,0,0,5,1228,10893,17904
Ecuador,0,0,54,1557,19592,27887
Egypt,0,1,157,1335,6447,18881
El Salvador,0,0,0,106,1063,3964
Equatorial Guinea,0,0,1,9,200,515
Eritrea,0,0,0,19,39,56
Estonia,0,0,26,236,1625,1836
Eswatini,0,0,0,10,194,418
Ethiopia,0,0,2,58,217,2430
Fiji,0,0,0,12,15,18
Finland,0,1,10,2800,5500,6700
France,0,12,9513,49118,68558,76674
Gabon,0,0,0,67,722,2508
Gambia,0,0,0,8,20,27
Georgia,0,0,21,178,624,794
Germany,0,16,16100,120400,165632,179100
Ghana,0,0,31,188,2947,13550
Greece,0,0,52,577,1374,1374
Grenada,0,0,0,13,18,23
Guatemala,0,0,12,62,795,3231
Guinea,0,0,0,313,2135,4346
Guinea-Bissau,0,0,0,19,53,317
Guyana,0,0,0,18,70,116
Haiti,0,0,1,8,24,1032
Holy See,0,0,0,2,2,12
Honduras,0,0,3,73,549,2123
Hungary,0,0,37,536,2156,2714
Iceland,0,0,198,1656,1794,1823
India,0,3,123,8437,95754,359860
Indonesia,0,0,81,1391,7637,25595
Iran,0,123,14656,73791,121004,191487
Iraq,0,0,170,1346,3275,26267
Ireland,0,0,5,13386,22089,23364
Israel,0,1,224,8233,14878,17452
Italy,0,46,15729,71252,158355,190717
Jamaica,0,0,2,29,322,555
Japan,1,32,424,2368,14463,16563
Jordan,0,0,30,356,535,886
Kazakhstan,0,0,24,819,5587,25319
Kenya,0,0,1,129,482,2089
South Korea,0,27,5408,8049,10446,11684
Kosovo,0,0,6,93,829,1644
Kuwait,0,0,73,1389,12899,37715
